,year,number,text,is_short_answer,figure_paths
0,1390,1,"Suppose $a$, $b$, and $c$ are natural numbers such that $ac = 2012$, the greatest common divisor of $a$ and $b$ is equal to 1, the least common multiple of $b$ and $c$ is 1390. What is the value of $a + b + c$?",False,[]
1,1390,2,"There are three cities, Namakstan, Samaghstan, and felfelstan, which are directly connected to shekarstan by a railway line. A traveler starts their journey from Namakstan and has 12 ticket that allows them to use all the train routes. If they want to enter Samaghstan exactly once during their journey, in how many ways can they complete their journey? Note that there is no direct route between Namakstan, Samaghstan and Felfelstan.",False,[]
2,1390,3,"What is the maximum possible value of $3ab+4bc$ which $a$, $b$, and $c$ are nonnegetive real numbers and $a+b+c = 30$?",False,[]
3,1390,4,In how many ways can the expression $1 \pm 2 \pm \cdots 7$ be determined such that the result is positive?,False,[]
4,1390,5,"On both sides of the main street of the city, eighteen streetlights are installed in two rows of nine, facing each other. The distance between two consecutive streetlights is 50 meters, and the width of the street is 10 meters. Some of the streetlights are turned off, but at a distance of less than 60 meters from each turned-off streetlight, there are at most three other turned-off streetlights. What is the maximum number of turned-off streetlights?",False,[]
5,1390,6,"Six points are located on a circle, and by drawing some tangent lines and connecting lines, angles are formed. If the angles \( \hat{A}, \hat{B}, \hat{C}, \hat{D}, \hat{E} \) are respectively equal to \( 4^\circ, 7^\circ, 10^\circ, 13^\circ, 16^\circ \), find the measure of angle \( \hat{XYZ} \) in degrees. If the answer is not an integer, write its integer part.
\begin{figure}[h!]
    \centering
    \includegraphics[width=0.3\linewidth]{figures/1390/6.png}
    \caption{Caption}
    \label{fig:1390:6}
\end{figure}",False,['figures/1390/6.png']
6,1390,7,"Suppose $a$ and $b$ are natural numbers such that the number of positive divisors of $a$, $b$, and $ab$ are 3, 4, and 8, respectively. How many positive divisors does $b^2$ have?",False,[]
7,1390,8,In how many ways can you place 4 pieces on a $4 \times 4$ board such that there is exactly one piece in each row and each column?,False,[]
8,1390,9,"In triangle $ABC$, $\angle BAC = 60^\circ$, $AB = 7\sqrt{3}$, and $AC = 14\sqrt{3}$. Let $X$ be a variable point on segment $BC$. From point $X$, draw two lines parallel to $AB$ and $AC$ that intersect $AC$ and $AB$ at points $Y$ and $Z$, respectively. What is the length of segment $BX$ so that segment $YZ$ have the smallest possible lenght?",False,[]
9,1390,10,The polynomial $P(x)$ is equal to the sum of $x^n$ for $1 \leq n \leq 120$ where $n$ is divisible by number 2 or 3 or both of them. How many distinct real roots does this polynomial have?,False,[]
